,index,Unnamed: 0,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace_x,w_df,w_svpt,w_1stIn_x,w_1stWon_x,w_2ndWon_x,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,match_id,l_winners_fh,l_winners_bh,l_unforced_fh,l_unforced_bh,l_return_pts_faced,l_return_pts_won,w_1stIn_y,w_1stWon_y,w_2ndWon_y,w_ace_y,w_winners_fh,w_winners_bh,w_unforced_fh,w_unforced_bh,w_return_pts_faced,w_return_pts_won,label
10,54,21781.0,2011-429,Stockholm,Hard,28.0,A,20111017.0,22.0,105683.0,6.0,,Milos Raonic,R,196.0,CAN,20.8,105777.0,,,Grigor Dimitrov,R,188.0,BUL,20.4,7-5 6-4,3.0,QF,78.0,14.0,1.0,54.0,39.0,33.0,11.0,11.0,0.0,0.0,3.0,1.0,64.0,35.0,24.0,17.0,11.0,2.0,4.0,29.0,1245.0,70.0,721.0,20111021-M-Stockholm-QF-Grigor_Dimitrov-Milos_Raonic,3,5,9,10,54,10,39,33,11,13,6,3,9,6,64,23,0.0
11,71,23135.0,2012-410,Monte Carlo Masters,Clay,56.0,M,20120415.0,55.0,104745.0,2.0,,Rafael Nadal,L,185.0,ESP,25.8,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,24.9,6-3 6-1,3.0,F,79.0,3.0,1.0,38.0,26.0,22.0,6.0,8.0,0.0,1.0,0.0,0.0,48.0,30.0,12.0,10.0,8.0,3.0,8.0,2.0,9215.0,1.0,12670.0,20120422-M-Monte_Carlo_Masters-F-Novak_Djokovic-Rafael_Nadal,7,4,13,9,38,10,26,22,6,3,8,4,6,4,48,26,0.0
12,73,23408.0,2012-416,Rome Masters,Clay,56.0,M,20120513.0,55.0,104745.0,2.0,,Rafael Nadal,L,185.0,ESP,25.9,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,24.9,7-5 6-3,3.0,F,141.0,0.0,0.0,69.0,39.0,27.0,17.0,10.0,6.0,7.0,1.0,4.0,74.0,47.0,32.0,10.0,11.0,3.0,7.0,3.0,9105.0,1.0,11200.0,20120519-M-Rome_Masters-F-Novak_Djokovic-Rafael_Nadal,16,4,18,17,69,25,41,28,16,0,9,5,13,5,74,32,0.0
13,74,23406.0,2012-416,Rome Masters,Clay,56.0,M,20120513.0,53.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,24.9,103819.0,3.0,,Roger Federer,R,185.0,SUI,30.7,6-2 7-6(4),3.0,SF,100.0,1.0,1.0,66.0,38.0,31.0,16.0,10.0,0.0,1.0,6.0,0.0,65.0,32.0,25.0,16.0,10.0,3.0,6.0,1.0,11200.0,2.0,9430.0,20120519-M-Rome_Masters-SF-Roger_Federer-Novak_Djokovic,14,2,16,23,66,19,38,31,16,1,9,3,6,10,65,24,0.0
14,85,24303.0,2012-422,Cincinnati Masters,Hard,56.0,M,20120812.0,55.0,103819.0,1.0,,Roger Federer,R,185.0,SUI,31.0,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,25.2,6-0 7-6(7),3.0,F,80.0,8.0,1.0,56.0,33.0,27.0,15.0,9.0,0.0,0.0,2.0,5.0,61.0,35.0,23.0,13.0,9.0,1.0,4.0,1.0,11345.0,2.0,11270.0,20120818-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,7,2,9,8,56,14,33,27,15,8,14,4,10,6,61,25,0.0
15,92,24763.0,2012-5014,Shanghai Masters,Hard,56.0,M,20121007.0,43.0,104918.0,3.0,,Andy Murray,R,190.0,GBR,25.4,105238.0,,,Alexandr Dolgopolov,R,180.0,UKR,23.9,6-2 6-2,3.0,R16,58.0,7.0,0.0,40.0,29.0,24.0,6.0,8.0,0.0,1.0,2.0,4.0,48.0,25.0,15.0,9.0,8.0,1.0,6.0,3.0,8090.0,20.0,1770.0,20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,4,3,16,17,40,10,28,23,7,7,2,1,7,7,48,24,0.0
16,96,24980.0,2012-605,Tour Finals,Hard,8.0,F,20121105.0,515.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,25.4,103819.0,2.0,,Roger Federer,R,185.0,SUI,31.2,7-6(6) 7-5,3.0,F,135.0,6.0,2.0,98.0,68.0,43.0,14.0,12.0,4.0,7.0,8.0,2.0,93.0,57.0,35.0,19.0,12.0,3.0,7.0,1.0,11420.0,2.0,9465.0,20121112-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,12,8,20,14,98,41,68,43,14,6,7,4,9,18,93,39,0.0
17,97,24999.0,2013-339,Brisbane,Hard,28.0,A,20121230.0,15.0,105238.0,4.0,,Alexandr Dolgopolov,R,180.0,UKR,24.1,103813.0,,,Jarkko Nieminen,L,185.0,FIN,31.4,6-2 4-1 RET,3.0,R16,54.0,6.0,0.0,36.0,22.0,17.0,10.0,6.0,0.0,0.0,0.0,1.0,43.0,28.0,12.0,7.0,7.0,5.0,9.0,18.0,1855.0,41.0,927.0,20130102-M-Brisbane-R16-Jarkko_Nieminen-Alexandr_Dolgopolov,5,1,8,11,36,9,22,17,10,6,13,1,8,4,43,24,0.0
18,103,25248.0,2013-580,Australian Open,Hard,128.0,G,20130114.0,125.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,25.6,103970.0,4.0,,David Ferrer,R,175.0,ESP,30.7,6-2 6-2 6-1,5.0,SF,89.0,6.0,0.0,51.0,32.0,29.0,15.0,11.0,0.0,0.0,1.0,3.0,75.0,45.0,25.0,9.0,12.0,0.0,7.0,1.0,12920.0,5.0,6505.0,20130125-M-Australian_Open-SF-David_Ferrer-Novak_Djokovic,7,2,13,6,51,7,33,30,14,6,13,11,8,7,75,41,0.0
19,105,25659.0,2013-807,Acapulco,Clay,32.0,A,20130225.0,31.0,104745.0,2.0,,Rafael Nadal,L,185.0,ESP,26.7,103970.0,1.0,,David Ferrer,R,175.0,ESP,30.9,6-0 6-2,3.0,F,65.0,0.0,1.0,43.0,27.0,22.0,9.0,7.0,2.0,2.0,1.0,2.0,45.0,27.0,15.0,4.0,7.0,3.0,8.0,5.0,5755.0,4.0,6865.0,20130225-M-Acapulco-F-David_Ferrer-Rafael_Nadal,5,3,11,9,43,12,28,23,8,0,9,8,3,8,45,26,0.0
20,113,26124.0,2013-410,Monte Carlo Masters,Clay,56.0,M,20130414.0,48.0,104527.0,13.0,,Stan Wawrinka,R,183.0,SUI,28.0,104918.0,2.0,,Andy Murray,R,190.0,GBR,25.9,6-1 6-2,3.0,R16,58.0,5.0,0.0,40.0,26.0,21.0,9.0,7.0,2.0,2.0,0.0,2.0,47.0,27.0,13.0,8.0,8.0,5.0,10.0,17.0,2005.0,2.0,8750.0,20130417-M-Monte_Carlo_Masters-R16-Andy_Murray-Stan_Wawrinka,6,2,13,6,40,10,26,21,9,5,10,7,9,6,47,26,0.0
21,114,26126.0,2013-410,Monte Carlo Masters,Clay,56.0,M,20130414.0,50.0,104926.0,,,Fabio Fognini,R,178.0,ITA,25.8,104755.0,7.0,,Richard Gasquet,R,185.0,FRA,26.8,7-6(0) 6-2,3.0,QF,87.0,3.0,1.0,64.0,34.0,27.0,16.0,10.0,4.0,6.0,3.0,3.0,72.0,41.0,22.0,15.0,10.0,5.0,9.0,32.0,1135.0,9.0,3230.0,20130419-M-Monte_Carlo_Masters-QF-Richard_Gasquet-Fabio_Fognini,6,4,7,16,64,21,35,28,15,3,23,11,7,20,72,35,0.0
22,116,26300.0,2013-1536,Madrid Masters,Clay,56.0,M,20130505.0,41.0,104527.0,15.0,,Stan Wawrinka,R,183.0,SUI,28.1,105777.0,,,Grigor Dimitrov,R,188.0,BUL,21.9,3-6 6-4 6-1,3.0,R16,102.0,3.0,3.0,87.0,62.0,42.0,14.0,13.0,2.0,4.0,4.0,1.0,74.0,50.0,33.0,12.0,13.0,3.0,7.0,15.0,2165.0,28.0,1272.0,20130509-M-Madrid_Masters-R16-Grigor_Dimitrov-Stan_Wawrinka,10,4,14,13,87,31,62,42,14,3,15,2,14,12,74,29,0.0
23,127,27135.0,2013-421,Canada Masters,Hard,56.0,M,20130805.0,4.0,105453.0,9.0,,Kei Nishikori,R,178.0,JPN,23.6,105166.0,,Q,Peter Polansky,R,180.0,CAN,25.1,4-6 6-4 6-2,3.0,R64,121.0,4.0,5.0,85.0,45.0,29.0,19.0,14.0,5.0,10.0,0.0,6.0,82.0,42.0,26.0,16.0,14.0,5.0,12.0,11.0,2405.0,256.0,178.0,20130805-M-Canada_Masters-R64-Peter_Polansky-Kei_Nishikori,11,2,17,15,85,37,45,29,19,4,14,8,26,16,82,40,0.0
24,134,27685.0,2013-5014,Shanghai Masters,Hard,56.0,M,20131007.0,25.0,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,26.3,104719.0,,,Marcel Granollers,R,190.0,ESP,27.4,6-2 6-0,3.0,R32,71.0,6.0,2.0,45.0,26.0,21.0,10.0,7.0,3.0,3.0,0.0,4.0,47.0,23.0,11.0,9.0,7.0,5.0,10.0,2.0,11120.0,36.0,1110.0,20131007-M-Shanghai_Masters-R32-Marcel_Granollers-Novak_Djokovic,5,2,11,6,45,14,26,21,10,6,8,10,10,4,47,27,0.0
25,137,27702.0,2013-5014,Shanghai Masters,Hard,56.0,M,20131007.0,42.0,104792.0,,,Gael Monfils,R,193.0,FRA,27.0,103819.0,5.0,,Roger Federer,R,185.0,SUI,32.1,6-4 6-7(5) 6-3,3.0,R16,129.0,15.0,5.0,104.0,61.0,49.0,24.0,16.0,4.0,5.0,3.0,2.0,102.0,73.0,52.0,15.0,15.0,7.0,10.0,42.0,1050.0,7.0,4515.0,20131010-M-Shanghai_Masters-R16-Roger_Federer-Gael_Monfils,23,3,14,19,104,31,61,49,24,14,13,6,10,9,102,35,0.0
26,141,27823.0,2013-328,Basel,Hard,32.0,A,20131021.0,27.0,103819.0,3.0,,Roger Federer,R,185.0,SUI,32.2,105777.0,8.0,,Grigor Dimitrov,R,188.0,BUL,22.4,6-3 7-6(2),3.0,QF,92.0,3.0,4.0,68.0,38.0,32.0,16.0,10.0,9.0,10.0,7.0,6.0,76.0,37.0,24.0,21.0,11.0,2.0,5.0,6.0,4245.0,22.0,1500.0,20131025-M-Basel-QF-Grigor_Dimitrov-Roger_Federer,11,3,15,14,68,20,39,33,15,3,15,4,11,9,76,31,0.0
27,154,27976.0,2014-891,Chennai,Hard,28.0,A,20131230.0,21.0,104527.0,1.0,,Stan Wawrinka,R,183.0,SUI,28.7,105379.0,,,Aljaz Bedene,R,181.0,SLO,24.4,6-2 6-1,3.0,QF,66.0,4.0,4.0,54.0,32.0,20.0,10.0,7.0,5.0,7.0,3.0,4.0,52.0,23.0,9.0,11.0,8.0,4.0,11.0,8.0,3730.0,95.0,573.0,20140103-M-Chennai-QF-Aljaz_Bedene-Stan_Wawrinka,7,0,19,9,54,24,32,20,10,4,5,14,9,13,52,32,0.0
28,155,28011.0,2014-451,Doha,Hard,32.0,A,20131230.0,29.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.5,105376.0,,Q,Peter Gojowczyk,R,185.0,GER,24.4,4-6 6-2 6-3,3.0,SF,120.0,5.0,2.0,72.0,46.0,35.0,11.0,13.0,1.0,4.0,1.0,4.0,84.0,46.0,29.0,17.0,14.0,10.0,16.0,1.0,13030.0,162.0,321.0,20140103-M-Doha-SF-Peter_Gojowczyk-Rafael_Nadal,10,3,16,12,72,26,46,35,11,5,17,4,18,11,84,38,0.0
29,161,28047.0,2014-338,Sydney,Hard,28.0,A,20140106.0,7.0,103898.0,6.0,,Julien Benneteau,R,185.0,FRA,32.0,105051.0,,WC,Matthew Ebden,R,188.0,AUS,26.1,6-2 6-2,3.0,R32,57.0,4.0,0.0,41.0,28.0,22.0,10.0,8.0,0.0,0.0,6.0,5.0,51.0,27.0,16.0,9.0,8.0,4.0,8.0,35.0,1160.0,65.0,711.0,20140106-M-Sydney-R32-Matthew_Ebden-Julien_Benneteau,6,1,10,10,41,9,29,23,9,4,13,6,5,4,51,26,0.0
30,165,28063.0,2014-338,Sydney,Hard,28.0,A,20140106.0,23.0,104660.0,,Q,Sergiy Stakhovsky,R,193.0,UKR,28.0,104594.0,,WC,Marinko Matosevic,R,194.0,AUS,28.4,6-4 6-3,3.0,QF,73.0,7.0,3.0,65.0,46.0,32.0,9.0,9.0,2.0,3.0,2.0,2.0,57.0,36.0,27.0,5.0,10.0,3.0,7.0,101.0,544.0,56.0,819.0,20140109-M-Sydney-QF-Marinko_Matosevic-Sergiy_Stakhovsky,4,5,21,18,65,24,47,33,8,7,6,4,19,11,57,25,0.0
31,167,28068.0,2014-580,Australian Open,Hard,128.0,G,20140113.0,1.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.6,106071.0,,,Bernard Tomic,R,193.0,AUS,21.2,6-4 RET,5.0,R128,41.0,5.0,1.0,26.0,16.0,14.0,6.0,5.0,0.0,0.0,3.0,1.0,28.0,19.0,15.0,3.0,5.0,0.0,1.0,1.0,13130.0,57.0,810.0,20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,7,2,3,2,26,6,16,14,6,5,7,1,1,2,28,10,0.0
32,168,28132.0,2014-580,Australian Open,Hard,128.0,G,20140113.0,65.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.6,106423.0,,WC,Thanasi Kokkinakis,R,196.0,AUS,17.7,6-2 6-4 6-2,5.0,R64,113.0,7.0,1.0,74.0,56.0,46.0,10.0,13.0,3.0,3.0,4.0,2.0,78.0,52.0,33.0,10.0,13.0,5.0,10.0,1.0,13130.0,570.0,53.0,20140116-M-Australian_Open-R64-Thanasi_Kokkinakis-Rafael_Nadal,14,2,14,7,74,18,55,45,11,7,24,4,16,5,78,35,0.0
33,175,28425.0,2014-402,Memphis,Hard,28.0,A,20140210.0,5.0,105065.0,,,Tim Smyczek,R,175.0,USA,26.1,106401.0,,WC,Nick Kyrgios,R,193.0,AUS,18.7,6-7(5) 6-4 6-3,3.0,R32,115.0,4.0,6.0,103.0,62.0,42.0,21.0,16.0,1.0,4.0,1.0,5.0,101.0,63.0,37.0,20.0,15.0,5.0,10.0,102.0,549.0,171.0,303.0,20140210-M-Memphis-R32-Nick_Kyrgios-Tim_Smyczek,13,2,42,26,103,40,60,41,22,4,15,6,33,24,101,44,0.0
34,178,28561.0,2014-6932,Rio de Janeiro,Clay,32.0,A,20140217.0,17.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.7,103656.0,,,Albert Montanes,R,175.0,ESP,33.2,6-1 6-2,3.0,R16,75.0,0.0,2.0,51.0,33.0,21.0,10.0,7.0,2.0,3.0,0.0,4.0,57.0,36.0,16.0,7.0,8.0,4.0,10.0,1.0,14085.0,72.0,701.0,20140220-M-Rio_de_Janeiro-R16-Albert_Montanes-Rafael_Nadal,12,1,10,6,51,20,33,21,10,0,13,6,6,4,57,34,0.0
35,183,28635.0,2014-495,Dubai,Hard,32.0,A,20140224.0,29.0,103819.0,4.0,,Roger Federer,R,185.0,SUI,32.5,104925.0,1.0,,Novak Djokovic,R,188.0,SRB,26.7,3-6 6-3 6-2,3.0,SF,106.0,7.0,0.0,77.0,46.0,35.0,18.0,13.0,5.0,6.0,5.0,2.0,86.0,53.0,36.0,19.0,13.0,4.0,7.0,8.0,4305.0,2.0,10580.0,20140228-M-Dubai-SF-Novak_Djokovic-Roger_Federer,7,9,16,18,77,24,44,33,20,7,9,8,15,13,86,31,0.0
36,184,28697.0,2014-404,Indian Wells Masters,Hard,96.0,M,20140306.0,33.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.7,103285.0,,,Radek Stepanek,R,185.0,CZE,35.2,2-6 6-4 7-5,3.0,R64,144.0,2.0,8.0,81.0,53.0,44.0,11.0,15.0,5.0,8.0,12.0,5.0,102.0,58.0,42.0,20.0,15.0,7.0,10.0,1.0,14085.0,50.0,925.0,20140308-M-Indian_Wells_Masters-R64-Radek_Stepanek-Rafael_Nadal,19,3,18,13,81,26,52,43,12,2,14,4,10,6,102,40,0.0
37,187,28792.0,2014-403,Miami Masters,Hard,96.0,M,20140319.0,33.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.7,103720.0,,,Lleyton Hewitt,R,180.0,AUS,33.0,6-1 6-3,3.0,R64,69.0,1.0,0.0,40.0,25.0,20.0,13.0,8.0,0.0,0.0,3.0,0.0,50.0,37.0,19.0,7.0,8.0,1.0,5.0,1.0,13130.0,44.0,1000.0,20140322-M-Miami_Masters-R64-Lleyton_Hewitt-Rafael_Nadal,7,1,11,14,40,7,25,20,13,1,13,1,6,6,50,24,0.0
38,188,28824.0,2014-403,Miami Masters,Hard,96.0,M,20140319.0,65.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.7,104797.0,,,Denis Istomin,R,188.0,UZB,27.5,6-1 6-0,3.0,R32,60.0,3.0,0.0,35.0,27.0,19.0,7.0,6.0,3.0,3.0,4.0,1.0,44.0,25.0,11.0,5.0,7.0,1.0,7.0,1.0,13130.0,57.0,810.0,20140324-M-Miami_Masters-R32-Denis_Istomin-Rafael_Nadal,8,1,10,7,35,9,28,20,6,3,11,2,3,3,44,28,0.0
39,196,29048.0,2014-410,Monte Carlo Masters,Clay,56.0,M,20140413.0,41.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.8,104312.0,,,Andreas Seppi,R,190.0,ITA,30.1,6-1 6-3,3.0,R16,74.0,2.0,2.0,45.0,29.0,24.0,7.0,8.0,5.0,6.0,1.0,0.0,49.0,27.0,15.0,7.0,8.0,0.0,5.0,1.0,13730.0,35.0,1150.0,20140417-M-Monte_Carlo_Masters-R16-Andreas_Seppi-Rafael_Nadal,4,3,12,9,45,14,29,24,7,2,17,0,10,9,49,27,0.0
40,199,29095.0,2014-425,Barcelona,Clay,48.0,A,20140421.0,33.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.8,104471.0,,,Ivan Dodig,R,183.0,CRO,29.2,6-3 6-3,3.0,R16,84.0,1.0,0.0,48.0,36.0,25.0,9.0,9.0,0.0,1.0,5.0,3.0,57.0,32.0,21.0,9.0,9.0,4.0,8.0,1.0,13310.0,37.0,1110.0,20140424-M-Barcelona-R16-Ivan_Dodig-Rafael_Nadal,5,2,11,8,48,14,36,25,9,1,10,2,9,6,57,27,0.0
41,208,29274.0,2014-416,Rome Masters,Clay,56.0,M,20140511.0,25.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.9,104468.0,,,Gilles Simon,R,183.0,FRA,29.3,7-6(1) 6-7(4) 6-2,3.0,R32,199.0,4.0,2.0,109.0,86.0,53.0,13.0,16.0,6.0,10.0,7.0,1.0,132.0,78.0,49.0,24.0,16.0,7.0,13.0,1.0,12900.0,30.0,1225.0,20140514-M-Rome_Masters-R32-Gilles_Simon-Rafael_Nadal,32,10,30,29,109,43,86,53,13,4,24,4,18,11,132,59,0.0
42,213,29302.0,2014-416,Rome Masters,Clay,56.0,M,20140511.0,53.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.9,105777.0,12.0,,Grigor Dimitrov,R,188.0,BUL,22.9,6-2 6-2,3.0,SF,83.0,1.0,0.0,55.0,44.0,29.0,8.0,8.0,3.0,3.0,2.0,3.0,46.0,29.0,17.0,4.0,8.0,3.0,7.0,1.0,12900.0,14.0,2200.0,20140517-M-Rome_Masters-SF-Grigor_Dimitrov-Rafael_Nadal,9,2,14,15,55,18,45,30,7,1,7,3,6,8,46,25,0.0
43,219,29479.0,2014-520,Roland Garros,Clay,128.0,G,20140526.0,121.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.9,103970.0,5.0,,David Ferrer,R,175.0,ESP,32.1,4-6 6-4 6-0 6-1,5.0,QF,154.0,1.0,1.0,102.0,63.0,43.0,22.0,16.0,11.0,14.0,2.0,1.0,95.0,60.0,32.0,15.0,17.0,5.0,14.0,1.0,12500.0,5.0,5030.0,20140604-M-Roland_Garros-QF-David_Ferrer-Rafael_Nadal,21,8,35,15,102,37,62,43,22,1,15,4,9,17,95,48,0.0
44,221,29485.0,2014-520,Roland Garros,Clay,128.0,G,20140526.0,127.0,104745.0,1.0,,Rafael Nadal,L,185.0,ESP,27.9,104925.0,2.0,,Novak Djokovic,R,188.0,SRB,27.0,3-6 7-5 6-2 6-4,5.0,F,211.0,3.0,4.0,120.0,84.0,61.0,18.0,19.0,6.0,9.0,11.0,3.0,126.0,82.0,59.0,16.0,20.0,4.0,10.0,1.0,12500.0,2.0,11850.0,20140608-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal,21,11,16,24,120,41,84,61,18,4,30,9,19,14,126,51,0.0
